"BehaviorSpace results (NetLogo 5.0.5)"
"abeillesv11.nlogo"
"experiment"
"05/01/2014 13:29:51:846 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","bug-reproduce","Temps-d-une-annee","number-of-bees","couleurbase","[step]","count bees","count bugs","rendement"
"7","5","48","50","67","100","50","50","5800"
"8","5","48","50","67","100","51","53","7600"
"3","5","48","50","67","100","50","50","6820"
"11","5","48","50","67","100","51","51","11060"
"20","5","48","50","67","100","51","52","9720"
"18","5","48","50","67","100","51","51","7740"
"5","5","48","50","67","100","50","51","7120"
"12","5","48","50","67","100","51","54","7380"
"2","5","48","50","67","100","52","51","6380"
"21","5","48","50","67","100","50","53","6940"
"10","5","48","50","67","100","50","51","6860"
"6","5","48","50","67","100","50","50","7720"
"4","5","48","50","67","100","50","51","7060"
"14","5","48","50","67","100","51","51","7780"
"15","5","48","50","67","100","51","51","8540"
"16","5","48","50","67","100","52","53","6560"
"17","5","48","50","67","100","51","50","6500"
"9","5","48","50","67","100","52","50","9300"
"13","5","48","50","67","100","51","51","7940"
